,Years,Real_Median_Household_Income,Consumer_Price_Index_Percent_Change,Labour_Force_Participation_Rate,Unemployment_Rate,Real_Disposal_Income_Percent_Change
0,2006,60100,2.00202539534158,67.0333333333333,6.3,6.08971581332622
1,2007,61500,2.1383839926684,67.4416666666666,6.0,3.89633679130607
2,2008,63100,2.37027067444293,67.55,6.1,4.11330622421946
3,2009,63300,0.299466803009291,67.0833333333333,8.3,2.42306682229247
4,2010,62300,1.7768715409263,66.9333333333333,8.1,3.49796841765825
5,2011,62800,2.91213508872352,66.7,7.5,1.48983889437523
6,2012,64400,1.51567823124522,66.5166666666666,7.3,2.6953547256274
7,2013,64600,0.938291897815215,66.4583333333333,7.1,3.18251040077242
8,2014,66300,1.90663590717872,65.9916666666666,6.9,1.22449859703575
9,2015,66400,1.12524136094281,65.8499999999999,6.9,3.36078014088223
10,2016,66100,1.42875954701079,65.7,7.0,3.19733768274955
11,2017,68100,1.6739782217549797,66.65984848484845,7.045454545454546,3.19733768274955
12,2018,68400,1.6739782217549797,66.65984848484845,7.045454545454546,3.19733768274955
13,2019,69300,1.6739782217549797,66.65984848484845,7.045454545454546,3.19733768274955
